GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10,HD01_VD11,HD01_VD12,HD01_VD13,HD01_VD14,HD01_VD15,HD01_VD16,HD01_VD17,HD01_VD18,HD01_VD19
Id,Id2,Geography,Estimate; Total:,Estimate; Male:,Estimate; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Estimate; Female:,Estimate; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1191199,520076,15955,49807,144323,19867,119072,41589,89147,40316,671123,16416,44884,143474,18815,170316,59358,131406,86454
310M200US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1021587,441988,14331,45534,129308,21227,119638,31838,51994,28118,579599,17408,50781,136633,16631,168988,54994,80729,53435
310M200US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",683241,304189,7176,28032,81474,13255,79197,23235,50792,21028,379052,8375,26056,85974,12989,115345,29276,63201,37836
310M200US19820,19820,"Detroit-Warren-Dearborn, MI Metro Area",613811,267978,10195,36196,71515,21281,73273,17168,23961,14389,345833,8659,37351,80218,14996,104357,32417,40274,27561
310M200US26420,26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",708987,319621,10241,22450,83268,16485,89876,22852,51253,23196,389366,12637,27389,84555,12927,113093,33068,64193,41504
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",613413,283226,6796,23544,69106,6851,81350,23818,46144,25617,330187,7383,23855,71586,3903,100896,31472,55657,35435
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",821342,373510,29853,48998,109485,15419,75734,32207,41642,20172,447832,41439,44960,119491,15441,82180,47740,59626,36955
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",802430,353932,9852,42088,122780,20953,77723,21285,39339,19912,448498,13924,45848,130119,16981,108784,38040,59449,35353
310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1031752,465493,12492,34605,108910,18589,109720,28036,88673,64468,566259,18667,32745,136340,15677,131833,41568,104182,85247
312M200US356203651000,356203651000,"New York city, NY; New York-Newark-Jersey City, NY-NJ-PA Metro Area",1382327,594798,38258,71531,157490,39636,114818,43396,87447,42222,787529,48610,83038,185955,45829,158108,64974,128557,72458
